OTU	Bacteroidaceae	Prevotellaceae	Streptococcaceae	Lachnospiraceae	Ruminococcaceae	Veillonellaceae	Tissierellaceae	Erysipelotrichaceae	Alcaligenaceae	Enterobacteriaceae	Other
83S10.27	0.172009029	0.387358916	0.000451467	0.077200903	0.121896163	0.098419865	0.002257336	0.015801354	0.005869074	0	0.118735892
87S11.3	0.045146727	0.425282167	0.003160271	0.05462754	0.073137698	0.129119639	0.000902935	0.032957111	0.038374718	0	0.197291196
109S1.26	0.104288939	0.447404063	0	0.106997743	0.17020316	0.021670429	0	0.043792325	0.016704289	0	0.088939052
111S	0.061851016	0.455530474	0.001354402	0.083972912	0.142663657	0.023927765	0.000902935	0.020767494	0.053724605	0.000451467	0.154853273
57s	0.142663657	0.470428894	0.062302483	0.006772009	0.005869074	0.06772009	0.126410835	0.002708804	0.040180587	0.009480813	0.065462754
73S12.29	0.515575621	0	0.000902935	0.086230248	0.201805869	0.021218962	0.001805869	0.00496614	0.028442438	0.042889391	0.096162528
89S	0.361625282	0	0.001805869	0.222573363	0.166591422	0.001354402	0	0.063205418	0.001805869	0.098419865	0.08261851
119s	0.55214447	0	0.040632054	0.058690745	0.063656885	0.014446953	0.086230248	0.003611738	0.013092551	0.026185102	0.141309255
57S	0.61986456	0.000451467	0	0.084875847	0.037471783	0.028893905	0.000451467	0.00496614	0.126862302	0	0.096162528
97S	0.001354402	0.000451467	0.177426637	0.005417607	0.000451467	0.004514673	0.003160271	0.001354402	0.00496614	0.045146727	0.755756208
99S	0.613544018	0.001805869	0.006320542	0.07765237	0.09255079	0.002257336	0.000902935	0.061851016	0.029345372	0	0.113769752
65S10.13	0.35530474	0.003611738	0.037923251	0.080812641	0.151693002	0.008577878	0.00496614	0.003160271	0.037923251	0.187358916	0.128668172
45S	0.358916479	0.008577878	0.295259594	0.00993228	0.022573363	0.005869074	0.028442438	0.004514673	0	0.006772009	0.259142212
67S10.13	0.033408578	0.012189616	0.48261851	0.002708804	0.003160271	0.010383747	0.073589165	0.013544018	0.008126411	0.070428894	0.289841986
99S2.9	0.504740406	0.023476298	0.060496614	0.143115124	0.075846501	0.003611738	0.007223476	0.041083521	0.018961625	0	0.121444695
79S1.12	0.027088036	0.028442438	0.260496614	0.00993228	0.004514673	0.042889391	0.042889391	0.007223476	0.000451467	0.016252822	0.559819413
117S5.4	0.012641084	0.031602709	0.032505643	0.000902935	0.002257336	0.005417607	0.033860045	0	0	0.600902935	0.279909707
75S12.15	0.210835214	0.069977427	0.009029345	0.031602709	0.128216704	0.00496614	0.028442438	0.085778781	0.052370203	0	0.378781038
19s	0.348984199	0.072234763	0.035214447	0.101128668	0.110158014	0.051918736	0.002257336	0.000902935	0.018510158	0.036568849	0.222121896
131S	0.246952596	0.080812641	0.001805869	0.097065463	0.176072235	0.018510158	0.005417607	0.065011287	0.007674944	0.097968397	0.202708804
25s	0.241534989	0.088036117	0.000902935	0.059142212	0.134085779	0.015349887	0.005869074	0.004063205	0	0.212641084	0.238374718
59S	0.0496614	0.136343115	0.120993228	0.009480813	0.001354402	0.018961625	0.069525959	0.002708804	0	0.162076749	0.428893905
85S1.5	0.246952596	0.149435666	0.006772009	0.096162528	0.184650113	0.013092551	0.002257336	0.042437923	0.017155756	0.011738149	0.229345372
135S	0.212641084	0.190970655	0.002708804	0.125056433	0.170654628	0.024379233	0	0.001354402	0.012641084	0.000451467	0.259142212
47S10.6	0.100225734	0.218058691	0.073137698	0.051467269	0.03972912	0.048306998	0.186907449	0.011738149	0.018058691	0.074040632	0.178329571
107S3.2	0.118284424	0.218058691	0.001354402	0.078103837	0.213544018	0.037020316	0.005417607	0.075395034	0.05462754	0	0.198194131
115S5.4	0.011286682	0.247404063	0.000902935	0.001805869	0.00993228	0.058690745	0.112866817	0	0.001354402	0.013092551	0.542663657
113S5.4	0.172009029	0.260045147	0.000902935	0.051467269	0.159819413	0.008577878	0.012641084	0.005869074	0.078555305	0.028442438	0.221670429
39S	0.019413093	0.273589165	0.002257336	0.035214447	0.059593679	0.027539503	0.000451467	0.022573363	0.016704289	0	0.542663657
71S5.11	0.007223476	0.310609481	0	0.086230248	0.230699774	0.014446953	0.007223476	0.075846501	0.011286682	0.000451467	0.255981941
53S	0.274492099	0.316027088	0.005417607	0.129119639	0.154853273	0.02979684	0	0.01489842	0.011738149	0.001805869	0.061851016
111S5.4	0.041083521	0.328216704	0.000451467	0.159819413	0.269977427	0.023927765	0.001354402	0.014446953	0.030248307	0	0.130474041
81S1.12	0.064559819	0.388713318	0.001805869	0.091647856	0.153950339	0.020316027	0.000451467	0.153950339	0.018510158	0.000451467	0.105643341
37S	0.023024831	0.396388262	0.005869074	0.098871332	0.168397291	0.031151242	0.001805869	0.035214447	0.039277652	0.000451467	0.199548533
87S12.29	0.012641084	0.405869074	0	0.063656885	0.130022573	0.083521445	0.000451467	0.052370203	0.038374718	0	0.213092551
109S3.30	0.075395034	0.417607223	0.000451467	0.112866817	0.096613995	0.023927765	0.000451467	0.161173815	0.018058691	0.001354402	0.092099323
139S	0.052370203	0.4248307	0.003611738	0.07268623	0.123250564	0.027990971	0.002708804	0.063656885	0.010835214	0	0.218058691
101S	0.206320542	0.434311512	0.00496614	0.016704289	0.041083521	0.041534989	0.017155756	0.029345372	0.002257336	0	0.206320542
55S	0.106094808	0.543115124	0	0.064559819	0.072234763	0.001805869	0	0	0	0.000451467	0.211738149
